02238	0	0.00330033
02238	1	0.00328947
02238	2	0.0559211
02238	3	0.00328947
1914	0	0.00330033
1914	1	0.00328947
1914	2	0.0559211
1914	3	0.00328947
1915	0	0.00330033
1915	1	0.00328947
1915	2	0.0625
1915	3	0.00328947
1918	0	0.00330033
1918	1	0.00328947
1918	2	0.0296053
1918	3	0.00657895
1919	0	0.00330033
1919	1	0.00328947
1919	2	0.121711
1919	3	0.00328947
1920	0	0.00330033
1920	1	0.00328947
1920	2	0.131579
1920	3	0.00328947
1923	0	0.00330033
1923	1	0.00328947
1923	2	0.0361842
1923	3	0.00328947
1948	0	0.00330033
1948	1	0.00328947
1948	2	0.0625
1948	3	0.00328947
1960	0	0.00990099
1960	1	0.00328947
1960	2	0.0263158
1960	3	0.00328947
1967	0	0.00660066
1967	1	0.00328947
1967	2	0.0657895
1967	3	0.00328947
1972	0	0.00990099
1972	1	0.00328947
1972	2	0.0328947
1972	3	0.00657895
1974	0	0.00990099
1974	1	0.00328947
1974	2	0.0394737
1974	3	0.00328947
1977	0	0.00330033
1977	1	0.00328947
1977	2	0.0328947
1977	3	0.00657895
1980	0	0.00330033
1980	1	0.00328947
1980	2	0.0263158
1980	3	0.00986842
1982	0	0.00330033
1982	1	0.00328947
1982	2	0.0559211
1982	3	0.00328947
1983	0	0.00330033
1983	1	0.00328947
1983	2	0.0361842
1983	3	0.0197368
1985	0	0.00330033
1985	1	0.00986842
1985	2	0.0394737
1985	3	0.00657895
24bit	0	0.00330033
24bit	1	0.0625
24bit	2	0.00328947
24bit	3	0.00328947
3369591	0	0.00330033
3369591	1	0.00328947
3369591	2	0.00328947
3369591	3	0.0328947
382761	0	0.00330033
382761	1	0.00328947
382761	2	0.0559211
382761	3	0.00328947
41493	0	0.00660066
41493	1	0.00328947
41493	2	0.0361842
41493	3	0.00328947
5173552178	0	0.00330033
5173552178	1	0.00328947
5173552178	2	0.00328947
5173552178	3	0.0328947
7148563446	0	0.00330033
7148563446	1	0.00328947
7148563446	2	0.0328947
7148563446	3	0.00328947
7148565361	0	0.00330033
7148565361	1	0.00328947
7148565361	2	0.0328947
7148565361	3	0.00328947
7148568441	0	0.00330033
7148568441	1	0.00328947
7148568441	2	0.0328947
7148568441	3	0.00328947
92717	0	0.00330033
92717	1	0.00328947
92717	2	0.0328947
92717	3	0.00328947
ab4zvirginiaedu	0	0.00330033
ab4zvirginiaedu	1	0.00328947
ab4zvirginiaedu	2	0.0526316
ab4zvirginiaedu	3	0.00328947
accelerator	0	0.00330033
accelerator	1	0.00986842
accelerator	2	0.00328947
accelerator	3	0.0263158
accept	0	0.019802
accept	1	0.0131579
accept	2	0.0822368
accept	3	0.0164474
achieve	0	0.00330033
achieve	1	0.00328947
achieve	2	0.0230263
achieve	3	0.0131579
action	0	0.019802
